"","WR","type","base","year","value","impacts"
"54","Czech Republic","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.309719961199858,"Production impacts"
"55","Germany","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-9.86595682256723,"Production impacts"
"56","Denmark","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-7.44331988029627,"Production impacts"
"57","Estonia","cseq_pro","ES impacts (ton Cseq potential lost)","2001",6.78787601223633,"Production impacts"
"58","Spain","cseq_pro","ES impacts (ton Cseq potential lost)","2001",3.27425823819261,"Production impacts"
"59","Finland","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-3.8625767507378,"Production impacts"
"60","France","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-3.85966818208656,"Production impacts"
"61","Greece","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-6.2296641789895,"Production impacts"
"62","Croatia","cseq_pro","ES impacts (ton Cseq potential lost)","2001",0.174269967085329,"Production impacts"
"63","Hungary","cseq_pro","ES impacts (ton Cseq potential lost)","2001",0.279835980509145,"Production impacts"
"64","Ireland","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.585288524368499,"Production impacts"
"65","Italy","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-3.47675022595944,"Production impacts"
"66","Lithuania","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-13.3933096684397,"Production impacts"
"67","Luxembourg","cseq_pro","ES impacts (ton Cseq potential lost)","2001",1.4378670887784,"Production impacts"
"68","Latvia","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-6.87332152414258,"Production impacts"
"69","Malta","cseq_pro","ES impacts (ton Cseq potential lost)","2001",NA,"Production impacts"
"70","Netherlands","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-2.76144539742523,"Production impacts"
"71","Poland","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-3.3237280202302,"Production impacts"
"72","Portugal","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-16.194063864671,"Production impacts"
"73","Romania","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.861455024997904,"Production impacts"
"74","Sweden","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.370429068045925,"Production impacts"
"75","Slovenia","cseq_pro","ES impacts (ton Cseq potential lost)","2001",4.95081994231684,"Production impacts"
"76","Slovak Republic","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-6.17466879053389,"Production impacts"
"77","United Kingdom","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.596666530373342,"Production impacts"
"78","United States","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-1.72413793103448,"Production impacts"
"79","Japan","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-7.55132128001246,"Production impacts"
"80","China","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-1.07238605898123,"Production impacts"
"81","Canada","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-5.50318916679162,"Production impacts"
"82","Korea, Rep.","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-3.98674571705026,"Production impacts"
"83","Brazil","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-1.3550135501355,"Production impacts"
"84","India","cseq_pro","ES impacts (ton Cseq potential lost)","2001",4.08163265306122,"Production impacts"
"85","Mexico","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.814897176999368,"Production impacts"
"86","Russian Federation","cseq_pro","ES impacts (ton Cseq potential lost)","2001",1.57894736842105,"Production impacts"
"87","Australia","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.105487052909642,"Production impacts"
"88","Switzerland","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-21.9634263981532,"Production impacts"
"89","Turkey","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.134871061828274,"Production impacts"
"90","Taiwan","cseq_pro","ES impacts (ton Cseq potential lost)","2001",0.122912716850015,"Production impacts"
"91","Norway","cseq_pro","ES impacts (ton Cseq potential lost)","2001",5.34544222970655,"Production impacts"
"92","Indonesia","cseq_pro","ES impacts (ton Cseq potential lost)","2001",5.33333333333333,"Production impacts"
"93","South Africa","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.441473772050417,"Production impacts"
"94","RoW Asia and Pacific","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.342465753424658,"Production impacts"
"95","RoW America","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.909090909090909,"Production impacts"
"96","RoW Europe","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.092198167420758,"Production impacts"
"97","RoW Africa","cseq_pro","ES impacts (ton Cseq potential lost)","2001",0.584795321637427,"Production impacts"
"98","RoW Middle East","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.827103847881009,"Production impacts"
"99","Austria","bio_pro","Biodiversity impacts (bird sp lost)","2002",4.81853976729335,"Production impacts"
"100","Belgium","bio_pro","Biodiversity impacts (bird sp lost)","2002",-1.06034039723087,"Production impacts"
"101","Bulgaria","bio_pro","Biodiversity impacts (bird sp lost)","2002",2.8316870555273,"Production impacts"
"102","Cyprus","bio_pro","Biodiversity impacts (bird sp lost)","2002",-11.4634146341463,"Production impacts"
"103","Czech Republic","bio_pro","Biodiversity impacts (bird sp lost)","2002",1.30978872542369,"Production impacts"
"104","Germany","bio_pro","Biodiversity impacts (bird sp lost)","2002",-9.98101170624351,"Production impacts"
"105","Denmark","bio_pro","Biodiversity impacts (bird sp lost)","2002",-6.22276606555847,"Production impacts"
"106","Estonia","bio_pro","Biodiversity impacts (bird sp lost)","2002",-7.29345905481126,"Production impacts"
"107","Spain","bio_pro","Biodiversity impacts (bird sp lost)","2002",-0.571725650234816,"Production impacts"
"108","Finland","bio_pro","Biodiversity impacts (bird sp lost)","2002",-0.362139319215286,"Production impacts"
"109","France","bio_pro","Biodiversity impacts (bird sp lost)","2002",0.969104766484968,"Production impacts"
"110","Greece","bio_pro","Biodiversity impacts (bird sp lost)","2002",-3.86399407646555,"Production impacts"
"111","Croatia","bio_pro","Biodiversity impacts (bird sp lost)","2002",1.731847104697,"Production impacts"
"112","Hungary","bio_pro","Biodiversity impacts (bird sp lost)","2002",1.97395305393543,"Production impacts"
"113","Ireland","bio_pro","Biodiversity impacts (bird sp lost)","2002",7.05321134051646,"Production impacts"
"114","Italy","bio_pro","Biodiversity impacts (bird sp lost)","2002",-4.77207460744624,"Production impacts"
"115","Lithuania","bio_pro","Biodiversity impacts (bird sp lost)","2002",-22.1156685536465,"Production impacts"
"116","Luxembourg","bio_pro","Biodiversity impacts (bird sp lost)","2002",0.471698113207543,"Production impacts"
"117","Latvia","bio_pro","Biodiversity impacts (bird sp lost)","2002",0.549718030204405,"Production impacts"
"118","Malta","bio_pro","Biodiversity impacts (bird sp lost)","2002",NA,"Production impacts"
"119","Netherlands","bio_pro","Biodiversity impacts (bird sp lost)","2002",-6.45401812972617,"Production impacts"
"120","Poland","bio_pro","Biodiversity impacts (bird sp lost)","2002",-1.40694467739539,"Production impacts"
"121","Portugal","bio_pro","Biodiversity impacts (bird sp lost)","2002",-1.71845357217036,"Production impacts"
"122","Romania","bio_pro","Biodiversity impacts (bird sp lost)","2002",2.10902030542427,"Production impacts"
"123","Sweden","bio_pro","Biodiversity impacts (bird sp lost)","2002",-0.0727360687882648,"Production impacts"
"124","Slovenia","bio_pro","Biodiversity impacts (bird sp lost)","2002",-0.560103556924292,"Production impacts"
"125","Slovak Republic","bio_pro","Biodiversity impacts (bird sp lost)","2002",-5.89366033649375,"Production impacts"
"126","United Kingdom","bio_pro","Biodiversity impacts (bird sp lost)","2002",-1.5258181492716,"Production impacts"
"127","United States","bio_pro","Biodiversity impacts (bird sp lost)","2002",-2.57131620950865,"Production impacts"
"128","Japan","bio_pro","Biodiversity impacts (bird sp lost)","2002",-8.27329075185049,"Production impacts"
"129","China","bio_pro","Biodiversity impacts (bird sp lost)","2002",-0.841247778798013,"Production impacts"
"130","Canada","bio_pro","Biodiversity impacts (bird sp lost)","2002",-0.631421927395059,"Production impacts"
"131","Korea, Rep.","bio_pro","Biodiversity impacts (bird sp lost)","2002",-0.0673771666652424,"Production impacts"
"132","Brazil","bio_pro","Biodiversity impacts (bird sp lost)","2002",1.93083028181799,"Production impacts"
"133","India","bio_pro","Biodiversity impacts (bird sp lost)","2002",-1.1063610074732,"Production impacts"
"134","Mexico","bio_pro","Biodiversity impacts (bird sp lost)","2002",-2.38626146013741,"Production impacts"
"135","Russian Federation","bio_pro","Biodiversity impacts (bird sp lost)","2002",2.28865748092025,"Production impacts"
"136","Australia","bio_pro","Biodiversity impacts (bird sp lost)","2002",0.372521463727669,"Production impacts"
"137","Switzerland","bio_pro","Biodiversity impacts (bird sp lost)","2002",-15.852831374798,"Production impacts"
"138","Turkey","bio_pro","Biodiversity impacts (bird sp lost)","2002",0.354294169148093,"Production impacts"
"139","Taiwan","bio_pro","Biodiversity impacts (bird sp lost)","2002",-0.070488568832478,"Production impacts"
"140","Norway","bio_pro","Biodiversity impacts (bird sp lost)","2002",5.55228965059842,"Production impacts"
"141","Indonesia","bio_pro","Biodiversity impacts (bird sp lost)","2002",2.32402454848613,"Production impacts"
"142","South Africa","bio_pro","Biodiversity impacts (bird sp lost)","2002",-0.150200119213057,"Production impacts"
"143","RoW Asia and Pacific","bio_pro","Biodiversity impacts (bird sp lost)","2002",-1.10475090902492,"Production impacts"
"144","RoW America","bio_pro","Biodiversity impacts (bird sp lost)","2002",-1.51020137135325,"Production impacts"
"145","RoW Europe","bio_pro","Biodiversity impacts (bird sp lost)","2002",2.20682690373637,"Production impacts"
"146","RoW Africa","bio_pro","Biodiversity impacts (bird sp lost)","2002",1.15120153411585,"Production impacts"
"147","RoW Middle East","bio_pro","Biodiversity impacts (bird sp lost)","2002",6.68226685580511,"Production impacts"
"148","Austria","cseq_pro","ES impacts (ton Cseq potential lost)","2002",5.40824264002871,"Production impacts"
"149","Belgium","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.678613998160863,"Production impacts"
"150","Bulgaria","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-2.64487083352586,"Production impacts"
"151","Cyprus","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-28.7813765195146,"Production impacts"
"152","Czech Republic","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.198005516800209,"Production impacts"
"153","Germany","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-9.65262633540977,"Production impacts"
"154","Denmark","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-9.39915634029505,"Production impacts"
"155","Estonia","cseq_pro","ES impacts (ton Cseq potential lost)","2002",2.80716816238631,"Production impacts"
"156","Spain","cseq_pro","ES impacts (ton Cseq potential lost)","2002",6.87292886828904,"Production impacts"
"157","Finland","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.993697905639262,"Production impacts"
"158","France","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-6.65553015798041,"Production impacts"
"159","Greece","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-8.12029969504002,"Production impacts"
"160","Croatia","cseq_pro","ES impacts (ton Cseq potential lost)","2002",1.69743035999362,"Production impacts"
"161","Hungary","cseq_pro","ES impacts (ton Cseq potential lost)","2002",0.2745858892222,"Production impacts"
"162","Ireland","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.492191898813692,"Production impacts"
"163","Italy","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-4.80660937866055,"Production impacts"
"164","Lithuania","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-11.0652201728179,"Production impacts"
"165","Luxembourg","cseq_pro","ES impacts (ton Cseq potential lost)","2002",0.168492429965059,"Production impacts"
"166","Latvia","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-1.5906438264512,"Production impacts"
"167","Malta","cseq_pro","ES impacts (ton Cseq potential lost)","2002",NA,"Production impacts"
"168","Netherlands","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-2.09670189959725,"Production impacts"
"169","Poland","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-5.42936554992421,"Production impacts"
"170","Portugal","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-16.5904210585215,"Production impacts"
"171","Romania","cseq_pro","ES impacts (ton Cseq potential lost)","2002",3.07193470900447,"Production impacts"
"172","Sweden","cseq_pro","ES impacts (ton Cseq potential lost)","2002",3.850373147066,"Production impacts"
"173","Slovenia","cseq_pro","ES impacts (ton Cseq potential lost)","2002",5.52629295083984,"Production impacts"
"174","Slovak Republic","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-7.34356065005479,"Production impacts"
"175","United Kingdom","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.246404211826797,"Production impacts"
"176","United States","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-2.06896551724138,"Production impacts"
"177","Japan","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-10.1353380655511,"Production impacts"
"178","China","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-1.60857908847185,"Production impacts"
"179","Canada","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.934309410998933,"Production impacts"
"180","Korea, Rep.","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-1.82732713637769,"Production impacts"
"181","Brazil","cseq_pro","ES impacts (ton Cseq potential lost)","2002",0.2710027100271,"Production impacts"
"182","India","cseq_pro","ES impacts (ton Cseq potential lost)","2002",4.76190476190476,"Production impacts"
"183","Mexico","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-2.36423263474086,"Production impacts"
"184","Russian Federation","cseq_pro","ES impacts (ton Cseq potential lost)","2002",1.05263157894737,"Production impacts"
"185","Australia","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-2.52347737847827,"Production impacts"
"186","Switzerland","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-28.8169159741047,"Production impacts"
"187","Turkey","cseq_pro","ES impacts (ton Cseq potential lost)","2002",2.49621263040301,"Production impacts"
"188","Taiwan","cseq_pro","ES impacts (ton Cseq potential lost)","2002",0.178755842698937,"Production impacts"
"189","Norway","cseq_pro","ES impacts (ton Cseq potential lost)","2002",1.24796306282902,"Production impacts"
"190","Indonesia","cseq_pro","ES impacts (ton Cseq potential lost)","2002",10,"Production impacts"
"191","South Africa","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.586035625178641,"Production impacts"
"192","RoW Asia and Pacific","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.684931506849315,"Production impacts"
"193","RoW America","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.909090909090909,"Production impacts"
"194","RoW Europe","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-0.497524734344593,"Production impacts"
"195","RoW Africa","cseq_pro","ES impacts (ton Cseq potential lost)","2002",1.75438596491228,"Production impacts"
"196","RoW Middle East","cseq_pro","ES impacts (ton Cseq potential lost)","2002",-12.2399547615108,"Production impacts"
"197","Austria","bio_pro","Biodiversity impacts (bird sp lost)","2003",4.8230177659265,"Production impacts"
"198","Belgium","bio_pro","Biodiversity impacts (bird sp lost)","2003",-1.53722905771032,"Production impacts"
"199","Bulgaria","bio_pro","Biodiversity impacts (bird sp lost)","2003",1.62669696492005,"Production impacts"
